CPT_CODE,CPT_LONG_DESCRIPTION,CPT_SHORT_DESCRIPTION
00100,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY","ANESTH, SALIVARY GLAND"
00102,ANESTHESIA FOR PROCEDURES ON PLASTIC REPAIR OF CLEFT LIP,"ANESTH, REPAIR OF CLEFT LIP"
00103,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)","ANESTH, BLEPHAROPLASTY"
00104,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY,"ANESTH, ELECTROSHOCK"
00120,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  NOT OTHERWISE SPECIFIED","ANESTH, EAR SURGERY"
00124,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  OTOSCOPY","ANESTH, EAR EXAM"
00126,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  TYMPANOTOMY","ANESTH, TYMPANOTOMY"
00140,ANESTHESIA FOR PROCEDURES ON EYE  NOT OTHERWISE SPECIFIED,"ANESTH, PROCEDURES ON EYE"
00142,ANESTHESIA FOR PROCEDURES ON EYE  LENS SURGERY,"ANESTH, LENS SURGERY"
00144,ANESTHESIA FOR PROCEDURES ON EYE  CORNEAL TRANSPLANT,"ANESTH, CORNEAL TRANSPLANT"
00145,ANESTHESIA FOR PROCEDURES ON EYE  VITREORETINAL SURGERY,"ANESTHES,VITREORETINAL SURGERY"
00147,ANESTHESIA FOR PROCEDURES ON EYE  IRIDECTOMY,"ANESTH, IRIDECTOMY"
00148,ANESTHESIA FOR PROCEDURES ON EYE  OPHTHALMOSCOPY,"ANESTH, EYE EXAM"
00160,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES NOT OTHERWISE SPECIFIED,"ANESTH, NOSE/SINUS SURGERY"
00162,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES RADICAL SURGERY,"ANESTH, NOSE/SINUS SURGERY"
00164,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES BIOPSY, SOFT TISSUE","ANESTH, BIOPSY OF NOSE"
00170,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY NOT OTHERWISE SPECIFIED","ANESTH, PROCEDURE ON MOUTH"
00172,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY REPAIR OF CLEFT PALATE","ANESTH, CLEFT PALATE REPAIR"
00174,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY EXCISION OF RETROPHARYNGEAL TUMOR","ANESTH, PHARYNGEAL SURGERY"
00176,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY RADICAL SURGERY","ANESTH, PHARYNGEAL SURGERY"
00190,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL NOT OTHERWISE SPECIFIED,"ANES,FACIAL BONE/SKULL NOS"
00192,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL RADICAL SURGERY (INCLUDING PROGNATHISM),"ANES,FACE BNE/SKULL RADCL SURG"
00210,ANESTHESIA FOR INTRACRANIAL PROCEDURES NOT OTHERWISE SPECIFIED,"ANESTH, OPEN HEAD SURGERY"
00212,ANESTHESIA FOR INTRACRANIAL PROCEDURES SUBDURAL TAPS,"ANESTH, SKULL DRAINAGE"
00214,"ANESTHESIA FOR INTRACRANIAL PROCEDURES BURR HOLES, INCLUDING VENTRICULOGRAPHY","ANESTH, SKULL DRAINAGE"
00215,"ANESTHESIA FOR INTRACRANIAL PROCEDURES CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)","ANES INTRACRN CRANIOPLS,XTRADR"
00216,ANESTHESIA FOR INTRACRANIAL PROCEDURES VASCULAR PROCEDURES,"ANESTH, HEAD VESSEL SURGERY"
00218,ANESTHESIA FOR INTRACRANIAL PROCEDURES PROCEDURES IN SITTING POSITION,"ANESTH, SPECIAL HEAD SURGERY"
00220,ANESTHESIA FOR INTRACRANIAL PROCEDURES CEREBROSPINAL FLUID SHUNTING PROCEDURES,"ANESTH, INTRCRN NERVE"
00222,ANESTHESIA FOR INTRACRANIAL PROCEDURES ELECTROCOAGULATION OF INTRACRANIAL NERVE,"ANESTH, HEAD NERVE SURGERY"
00300,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED","ANESTH, HEAD/NECK/PTRUNK"
00921,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) VASECTOMY, UNILATERAL/BILATERAL","ANESTH, VASECTOMY",
00922,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) SEMINAL VESICLES,"ANES,MALE GEN(URTH) SEMIN VES",
00924,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) UNDESCENDED TESTIS, UNILATERAL OR BILATERAL","ANES,MALE GEN UNDESCND TESTI",
00926,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) RADICAL ORCHIECTOMY, INGUINAL","ANS,ML GEN RAD ORCHIECT,INGUIN",
00928,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) RADICAL ORCHIECTOMY, ABDOMINAL","ANES,MALE GEN RAD ORCHIECT,ABD",
00930,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) ORCHIOPEXY, UNILATERAL OR BILATERAL","ANES,MALE GEN ORCHIOPX, UNI/BI",
00932,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) COMPLETE AMPUTATION OF PENIS,"ANES,MALE GEN COMP AMP,PENIS",
00934,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL LYMPHADEN,"ANS,ML GEN BI NGUIN LYMPHADNCT",OMY
00936,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL AND ILIAC,"ANS,ML GN NGUIN&IL LYMPHDNCT",MPHADENECTOMY
00938,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES) INSERTION OF PENILE PROSTHESIS (PERINEAL APPROACH),"ANS,ML GEN INSRT PENILE PROSTH",
00940,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM) NOT OTHERWISE SPECIFIED","ANESTH, VAGINAL PROCEDURES",
00942,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM) COLPOTOMY, VAGINECTOMY, COLPORRHAPHY, AND OPEN UR","ANESTH, SURG ON VAG/URETHAL",IAL PROCEEDURES
00944,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM) VAGINAL HYSTERECTOMY","ANESTH, VAGINAL HYSTERECTOMY",
00948,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM) CERVICAL CERCLAGE","ANESTH, REPAIR OF CERVIX",
00950,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM) CULDOSCOPY","ANESTH, VAGINAL ENDOSCOPY",
00952,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM) HYSTEROSCOPY AND/OR HYSTEROSALPINGOGRAPHY","ANESTH, HYSTEROSCOPE/GRAPH"
01112,"ANESTHESIA FOR BONE MARROW ASPIRATION AND/OR BIOPSY, ANTERIOR OR POSTERIOR ILIAC CREST","ANES BNE MAR ASP/BX,ILIAC CRST"
01120,ANESTHESIA FOR PROCEDURES ON BONY PELVIS,"ANESTH, PELVIS SURGERY"
01130,ANESTHESIA FOR BODY CAST APPLICATION OR REVISION,"ANESTH, BODY CAST PROCEDURE"
01140,ANESTHESIA FOR INTERPELVIABDOMINAL (HINDQUARTER) AMPUTATION,"ANESTH, AMPUTATION AT PELVIS"
01150,"ANESTHESIA FOR RADICAL PROCEDURES FOR TUMOR OF PELVIS, EXCEPT HINDQUARTER AMPUTATION","ANESTH, PELVIC TUMOR SURGERY"
01160,ANESTHESIA FOR CLOSED PROCEDURES INVOLVING SYMPHYSIS PUBIS OR SACROILIAC JOINT,"ANESTH, PELVIS PROCEDURE"
01170,ANESTHESIA FOR OPEN PROCEDURES INVOLVING SYMPHYSIS PUBIS OR SACROILIAC JOINT,"ANESTH, PELVIS SURGERY"
01180,ANESTHESIA FOR OBTURATOR NEURECTOMY EXTRAPELVIC,"ANESTH, PELVIS NERVE REMOVAL"
01190,ANESTHESIA FOR OBTURATOR NEURECTOMY INTRAPELVIC,"ANESTH, PELVIS NERVE REMOVAL"
01200,ANESTHESIA FOR ALL CLOSED PROCEDURES INVOLVING HIP JOINT,"ANESTH, HIP JOINT PROCEDURE"
01202,ANESTHESIA FOR ARTHROSCOPIC PROCEDURES OF HIP JOINT,"ANESTH, ARTHROSCOPY OF HIP"
01210,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT NOT OTHERWISE SPECIFIED,"ANESTH, HIP JOINT SURGERY"
01212,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT HIP DISARTICULATION,"ANESTH, HIP DISARTICULATION"
01214,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT TOTAL HIP ARTHROPLASTY,"ANESTH, HIP ARTHROPLASTY"
01215,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT REVISION OF TOTAL HIP ARTHROPLASTY,"ANES OPN,HIP JT TOT HIP ARTHRO"
01220,ANESTHESIA FOR ALL CLOSED PROCEDURES INVOLVING UPPER 2/3 OF FEMUR,"ANESTH, PROCEDURE ON FEMUR"
01230,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER 2/3 OF FEMUR NOT OTHERWISE SPECIFIED,"ANESTH, SURGERY OF FEMUR"
01232,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER 2/3 OF FEMUR AMPUTATION,"ANESTH, AMPUTATION OF FEMUR"
01234,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER 2/3 OF FEMUR RADICAL RESECTION,"ANESTH, RADICAL FEMUR SURG"
01250,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSA OF UPPER LEG","ANESTH, UPPER LEG SURGERY"
01260,"ANESTHESIA FOR ALL PROCEDURES INVOLVING VEINS OF UPPER LEG, INCLUDING EXPLORATION","ANESTH, UPPER LEG VEINS SURG"
01270,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT NOT OTHERWISE SPECIFIED","ANESTH, THIGH ARTERIES SURG"
01272,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT FEMORAL ARTERY LIGATION","ANESTH, FEMORAL ARTERY SURG"
01274,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT FEMORAL ARTERY EMBOLECTOMY","ANESTH, FEMORAL EMBOLECTOMY"
01320,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSA OF KNEE AND/OR POPLITEAL AREA","ANESTH, KNEE AREA SURGERY"
01340,ANESTHESIA FOR ALL CLOSED PROCEDURES ON LOWER 1/3 OF FEMUR,"ANESTH, KNEE AREA PROCEDURE"
01360,ANESTHESIA FOR ALL OPEN PROCEDURES ON LOWER 1/3 OF FEMUR,"ANESTH, KNEE AREA SURGERY"
01380,ANESTHESIA FOR ALL CLOSED PROCEDURES ON KNEE JOINT,"ANESTH, KNEE JOINT PROCEDURE"
01382,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF KNEE JOINT,"ANESTH, DX ARTHROSCOPY KNEE"
01390,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON UPPER ENDS OF TIBIA, FIBULA, AND/OR PATELLA","ANESTH, KNEE AREA PROCEDURE"
01392,"ANESTHESIA FOR ALL OPEN PROCEDURES ON UPPER ENDS OF TIBIA, FIBULA, AND/OR PATELLA","ANESTH, KNEE AREA SURGERY"
01400,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT NOT OTHERWISE SPECIFIED,"ANESTH, SURGERY KNEE JOINT",
01402,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT TOTAL KNEE ARTHROPLASTY,"ANESTH, KNEE ARTHROPLASTY",
01404,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT DISARTICULATION AT KNEE,"ANESTH,DISARTICULATION AT KNEE",
01420,"ANESTHESIA FOR ALL CAST APPLICATIONS, REMOVAL, OR REPAIR INVOLVING KNEE JOINT","ANESTH, KNEE JOINT CASTING",
01430,ANESTHESIA FOR PROCEDURES ON VEINS OF KNEE AND POPLITEAL AREA NOT OTHERWISE SPECIFIED,"ANESTH, KNEE VEINS SURGERY",
01432,ANESTHESIA FOR PROCEDURES ON VEINS OF KNEE AND POPLITEAL AREA ARTERIOVENOUS FISTULA,"ANESTH, KNEE VESSEL SURG",
01440,ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA NOT OTHERWISE SPECIFIED,"ANESTH, KNEE ARTERIES SURG",
01442,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA POPLITEAL THROMBOENDARTERECTOMY, WITH OR WITHOUT PATCH GRAFT","ANESTH, KNEE ARTERY SURG",
01444,ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA POPLITEAL EXCISION AND GRAFT OR REPAIR FOR OCCLUSION OR ANEURYSM,"ANESTH, KNEE ARTERY REPAIR",
01462,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON LOWER LEG, ANKLE, AND FOOT","ANESTH, LOWER LEG PROCEDURE",
01464,ANESTHESIA FOR ARTHROSCOPIC PROCEDURES OF ANKLE AND/OR FOOT,"ANESTH, ARTHROSCOPY ANKLE/FT",
01470,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT NOT OTHERWISE SPECIFIED","ANESTH, LOWER LEG SURGERY",
01472,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT REPAIR OF RUPTURED ACHILLES TENDON, WITH OR WI","ANESTH, ACHILLES TENDON SURG",UTGRAFT
01474,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT GASTROCNEMIUS RECESSION (EG, STRAYER PROCEDURE","ANESTH, LOWER LEG SURGERY",
01480,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT NOT OTHERWISE SPECIFIED","ANESTH, LOWER LEG BONE SURG",
01482,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT RADICAL RESECTION (INCLUDING BELOW KNEE AMPUTATION)","ANS OPN,PRC BNE LOW LEG,ANK,FT",
01484,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT OSTEOTOMY OR OSTEOPLASTY OF TIBIA AND/OR FIBULA","ANESTH, LOWER LEG REVISION",
01486,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT TOTAL ANKLE REPLACEMENT","ANESTH, ANKLE REPLACEMENT",
01490,"ANESTHESIA FOR LOWER LEG CAST APPLICATION, REMOVAL, OR REPAIR","ANESTH, LOWER LEG CASTING",
01500,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF LOWER LEG, INCLUDING BYPASS GRAFT NOT OTHERWISE SPECIFIED","ANESTH, LEG ARTERIES SURG",
01502,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF LOWER LEG, INCLUDING BYPASS GRAFT EMBOLECTOMY, DIRECT OR CATHETER","ANESTH, LWR LEG EMBOLECTOMY",
01520,ANESTHESIA FOR PROCEDURES ON VEINS OF LOWER LEG NOT OTHERWISE SPECIFIED,"ANESTH, LOWER LEG VEIN SURG",
01522,"ANESTHESIA FOR PROCEDURES ON VEINS OF LOWER LEG VENOUS THROMBECTOMY, DIRECT OR CATHETER","ANESTH, LOWER LEG VEIN SURG",
01610,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSA OF SHOULDER AND AXILLA","ANESTH, SURGERY OF SHOULDER",
01620,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT","ANESTH, SHOULDER PROCEDURE",
01622,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF SHOULDER JOINT,ANES DX ARTHROSCOPY SHOULDER,
01630,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER","ANESTH,SURG ARTHROSCP SHOULDER",INT NOT OTHERWISE SPECIFIED
01632,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER","ANES,SURG OF SHOULDER RAD RESE",INT RADICAL RESECTION
01634,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER","ANES, DISARTICULATION SHOULDER",INT SHOULDER DISARTICULATION
01636,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER","ANESTH, SURG FOREQUARTER AMPUT",INT INTERTHORACOSCAPULAR (FOREQUARTER) AMPUTATION
01638,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER","ANESTH, SHOULDER REPLACEMENT",INT TOTAL SHOULDER REPLACEMENT
01650,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA NOT OTHERWISE SPECIFIED,"ANESTH, SHOULDER ARTERY SURG",
01652,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA AXILLARY-BRACHIAL ANEURYSM,"ANESTH, SHOULDER VESSEL SURG"
01654,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA BYPASS GRAFT,"ANESTH, SHOULDER VESSEL SURG"
01656,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA AXILLARY-FEMORAL BYPASS GRAFT,"ANESTH, ARM-LEG VESSEL SURG"
01670,ANESTHESIA FOR ALL PROCEDURES ON VEINS OF SHOULDER AND AXILLA,"ANESTH, SHOULDER VEIN SURG"
01680,"ANESTHESIA FOR SHOULDER CAST APPLICATION, REMOVAL OR REPAIR NOT OTHERWISE SPECIFIED","ANESTH, SHOULDER CASTING"
01682,"ANESTHESIA FOR SHOULDER CAST APPLICATION, REMOVAL OR REPAIR SHOULDER SPICA","ANESTH, AIRPLANE CAST"
01710,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSA OF UPPER ARM AND ELBOW NOT OTHERWISE SPECIFIED","ANESTH, ELBOW AREA SURGERY"
01712,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSA OF UPPER ARM AND ELBOW TENOTOMY, ELBOW TO SHOULDER, OPEN","ANESTH, UPPR ARM TENDON SURG"
01714,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSA OF UPPER ARM AND ELBOW TENOPLASTY, ELBOW TO SHOULDER","ANESTH, UPPR ARM TENDON SURG"
01716,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSA OF UPPER ARM AND ELBOW TENODESIS, RUPTURE OF LONG TENDON OF BICEPS","ANESTH, BICEPS TENDON REPAIR"
01730,ANESTHESIA FOR ALL CLOSED PROCEDURES ON HUMERUS AND ELBOW,"ANESTH, UPPR ARM PROCEDURE"
01732,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF ELBOW JOINT,"ANESTH, DX ARTHROSCOPY ELBOW"
01740,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW NOT OTHERWISE SPECIFIED,"ANESTH, SURG ARTHROSCOPY ELBOW"
01742,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW OSTEOTOMY OF HUMERUS,"ANESTH, SURG OSTEOTOMY HUMERUS"
01744,"ANESTHESIA FOR OPEN/SURGICAL ARTHROSCOPIC PROCEDURES, THE ELBOW REPAIR, NONUNION/MALUNION, HUMERUS","ANESTH, SURG REPAIR HUMERUS"
01756,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW RADICAL PROCEDURES,"ANESTH,SURG ARTH EBOW RAD PROC"
01758,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW EXCISION OF CYST OR TUMOR OF HUMERUS,"ANESTH,SURG EBOW EXCS HUMERAL"
01760,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW TOTAL ELBOW REPLACEMENT,"ANESTH, ELBOW REPLACEMENT"
01770,ANESTHESIA FOR PROCEDURES ON ARTERIES OF UPPER ARM AND ELBOW NOT OTHERWISE SPECIFIED,"ANESTH, UPPR ARM ARTERY SURG"
01772,ANESTHESIA FOR PROCEDURES ON ARTERIES OF UPPER ARM AND ELBOW EMBOLECTOMY,"ANESTH, UPPR ARM EMBOLECTOMY"
01780,ANESTHESIA FOR PROCEDURES ON VEINS OF UPPER ARM AND ELBOW NOT OTHERWISE SPECIFIED,"ANESTH, UPPER ARM VEIN SURG"
01782,ANESTHESIA FOR PROCEDURES ON VEINS OF UPPER ARM AND ELBOW PHLEBORRHAPHY,"ANESTH, UPPR ARM VEIN REPAIR"
01810,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSA OF FOREARM, WRIST, AND HAND","ANESTH, LOWER ARM SURGERY"
01820,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON RADIUS, ULNA, WRIST, OR HAND BONES","ANESTH, LOWER ARM PROCEDURE"
01829,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES ON THE WRIST,"ANESTH, DX WRIST ARTHROSCOPY"
01830,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC/ENDOSCOPIC PROCEDURES ON DISTAL RADIUS, DISTAL ULNA, WRIST, OR HAND JOINTS NOT OTHERWISE SPECIFIE","ANESTH, SURG ARTHRO HAND JOINT"
01832,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC/ENDOSCOPIC PROCEDURES ON DISTAL RADIUS, DISTAL ULNA, WRIST, OR HAND JOINTS TOTAL WRIST REPLACEMEN","ANESTH, WRIST REPLACEMENT"
01840,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF FOREARM, WRIST, AND HAND NOT OTHERWISE SPECIFIED","ANESTH, LWR ARM ARTERY SURG"
01842,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF FOREARM, WRIST, AND HAND EMBOLECTOMY","ANESTH, LWR ARM EMBOLECTOMY"
01844,"ANESTHESIA FOR VASCULAR SHUNT, OR SHUNT REVISION, ANY TYPE (EG, DIALYSIS)","ANESTH, VASCULAR SHUNT SURG"
01850,"ANESTHESIA FOR PROCEDURES ON VEINS OF FOREARM, WRIST, AND HAND NOT OTHERWISE SPECIFIED","ANESTH, LOWER ARM VEIN SURG"
01852,"ANESTHESIA FOR PROCEDURES ON VEINS OF FOREARM, WRIST, AND HAND PHLEBORRHAPHY","ANESTH, LWR ARM VEIN REPAIR"
01860,"ANESTHESIA FOR FOREARM, WRIST, OR HAND CAST APPLICATION, REMOVAL, OR REPAIR","ANESTH, LOWER ARM CASTING",
01905,"ANESTHESIA FOR MYELOGRAPHY, DISKOGRAPHY, VERTEBROPLASTY","ANES, SPINE INJECT, X-RAY/RE",
01916,ANESTHESIA FOR DIAGNOSTIC ARTERIOGRAPHY/VENOGRAPHY,"ANESTH, DX ARTERIOGRAPHY",
01920,ANESTHESIA FOR CARDIAC CATHETERIZATION INCLUDING CORONARY ANGIOGRAPHY AND VENTRICULOGRAPHY,"ANESTH, CATHETERIZE HEART",
01922,ANESTHESIA FOR NON-INVASIVE IMAGING OR RADIATION THERAPY,"ANESTH, CAT OR MRI SCAN",
01924,ANESTHESIA FOR THERAPEUTIC INTERVENTIONAL RADIOLOGIC PROCEDURES INVOLVING THE ARTERIAL SYSTEM NOT OTHERWISE SPECIFIED,"ANES, THER INTERVEN RAD, ART",
01925,ANESTHESIA FOR THERAPEUTIC INTERVENTIONAL RADIOLOGIC PROCEDURES INVOLVING THE ARTERIAL SYSTEM CAROTID OR CORONARY,"ANES, THER INTERVEN RAD, CAR",
01926,"ANESTHESIA FOR THERAPEUTIC INTERVENTIONAL RADIOLOGIC PROCEDURES INVOLVING THE ARTERIAL SYSTEM INTRACRANIAL, INTRACARDIAC, OR AORTIC","ANES, TX INTERV RAD HRT/CRAN",
01930,ANESTHESIA FOR THERAPEUTIC INTERVENTIONAL RADIOLOGIC PROCEDURES INVOLVING THE VENOUS/LYMPHATIC SYSTEM (NOT TO INCLUDE ACCESS TO THE CENTRAL CIR,"ANES, THER INTERVEN RAD, VEI",ATION) NOT OTHERWISE SPECIFIED
01931,"ANES, THERAPEUTIC INTERVENEAL RADIOLOGIC PROCS INVOLV THE VENOUS/LYMPHATIC SYST (NOT INCL ACCSS THE CENTRL CIRCULATION) INTRAHEPATIC/PORTAL CI","ANES, THER INTERVEN RAD, TIP","LATION (EG, TRANSCUTANEOUS PORTO-CAVAL SHUNT (TIPS))"
